method,importance,p_value,score,elapsed,correlation,correlation_group,n_samples,prob_data,group_based,group_stack,iteration
CPI-DNN,1.11372696183249,2.34435796154821e-17,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,2.46675611873024,5.01589135670968e-32,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.00532548005085091,0.658018197363328,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0427747674964574,0.994001005173368,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0123718021713249,0.91921483426345,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0637052057998936,0.993559545336219,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0164733064369872,0.760864803336455,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.00027463976647119,0.508324940704672,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0728376960184573,0.99713904296114,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.00419338197380843,0.390875596349945,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.00990582362553586,0.775194684773748,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.00540143034377045,0.622933614173142,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.00820005868147427,0.671228669195974,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0312804872915225,0.929621718249334,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0149415972424579,0.822025354790429,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.00382651065529403,0.593417189310296,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.00458246846710712,0.641158853610803,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.0110428201881981,0.269666018432352,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.0230402650887388,0.0457766336934691,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0505204038240536,0.999647034164408,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0225640500802673,0.940063640758049,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.00166730533260733,0.452025633364612,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.00972803191425445,0.743749794835551,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.0247708998267074,0.107502357356187,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0175182806991032,0.933308831239236,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0275442838902977,0.871682407932672,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0361457186717378,0.985427054958808,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0516521774721151,0.996778808051074,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0164375709119374,0.828668366888252,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0199586087414426,0.942320139858398,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0194701631246132,0.919952856438028,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0252261529628031,0.880752369772239,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,2.62554306000422,4.43991562675802e-26,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.00649965851623762,0.433472701248877,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
