,Method,correlation,n_samples,prob_data,iteration,V1
310,Permfit-DNN,0.8,300,regression_perm,10,0.2
311,Permfit-DNN,0.8,300,regression_perm,11,0.242105263157895
312,Permfit-DNN,0.8,300,regression_perm,12,0.231578947368421
313,Permfit-DNN,0.8,300,regression_perm,13,0.178947368421053
314,Permfit-DNN,0.8,300,regression_perm,14,0.147368421052632
315,Permfit-DNN,0.8,300,regression_perm,15,0.273684210526316
316,Permfit-DNN,0.8,300,regression_perm,16,0.252631578947368
317,Permfit-DNN,0.8,300,regression_perm,17,0.315789473684211
318,Permfit-DNN,0.8,300,regression_perm,18,0.315789473684211
319,Permfit-DNN,0.8,300,regression_perm,19,0.252631578947368
320,Permfit-DNN,0.8,300,regression_perm,20,0.210526315789474
321,Permfit-DNN,0.8,300,regression_perm,21,0.284210526315789
322,Permfit-DNN,0.8,300,regression_perm,22,0.273684210526316
323,Permfit-DNN,0.8,300,regression_perm,23,0.242105263157895
324,Permfit-DNN,0.8,300,regression_perm,24,0.263157894736842
325,Permfit-DNN,0.8,300,regression_perm,25,0.189473684210526
326,Permfit-DNN,0.8,300,regression_perm,26,0.252631578947368
327,Permfit-DNN,0.8,300,regression_perm,27,0.284210526315789
328,Permfit-DNN,0.8,300,regression_perm,28,0.178947368421053
329,Permfit-DNN,0.8,300,regression_perm,29,0.231578947368421
330,Permfit-DNN,0.8,300,regression_perm,30,0.315789473684211
331,Permfit-DNN,0.8,300,regression_perm,31,0.136842105263158
332,Permfit-DNN,0.8,300,regression_perm,32,0.252631578947368
333,Permfit-DNN,0.8,300,regression_perm,33,0.231578947368421
334,Permfit-DNN,0.8,300,regression_perm,34,0.168421052631579
335,Permfit-DNN,0.8,300,regression_perm,35,0.178947368421053
336,Permfit-DNN,0.8,300,regression_perm,36,0.168421052631579
337,Permfit-DNN,0.8,300,regression_perm,37,0.252631578947368
338,Permfit-DNN,0.8,300,regression_perm,38,0.252631578947368
339,Permfit-DNN,0.8,300,regression_perm,39,0.305263157894737
340,Permfit-DNN,0.8,300,regression_perm,40,0.210526315789474
341,Permfit-DNN,0.8,300,regression_perm,41,0.221052631578947
342,Permfit-DNN,0.8,300,regression_perm,42,0.221052631578947
343,Permfit-DNN,0.8,300,regression_perm,43,0.221052631578947
344,Permfit-DNN,0.8,300,regression_perm,44,0.2
345,Permfit-DNN,0.8,300,regression_perm,45,0.284210526315789
346,Permfit-DNN,0.8,300,regression_perm,46,0.305263157894737
347,Permfit-DNN,0.8,300,regression_perm,47,0.231578947368421
348,Permfit-DNN,0.8,300,regression_perm,48,0.242105263157895
349,Permfit-DNN,0.8,300,regression_perm,49,0.147368421052632
350,Permfit-DNN,0.8,300,regression_perm,50,0.231578947368421
351,Permfit-DNN,0.8,300,regression_perm,51,0.210526315789474
352,Permfit-DNN,0.8,300,regression_perm,52,0.242105263157895
353,Permfit-DNN,0.8,300,regression_perm,53,0.231578947368421
354,Permfit-DNN,0.8,300,regression_perm,54,0.294736842105263
